"shipping_mode","product_name","product_price","num_of_transactions_record","average_late_days"
"same day","columbia men's pfg anchor tough t-shirt",30,"8","1.0000"
"same day","gopro hero3+ black edition camera",399.99,"1","1.0000"
"same day","glove it women's imperial golf glove",19.99,"6","1.0000"
"same day","summer dresses",215.82,"19","1.0000"
"same day","adidas youth germany black/red away match soc",70,"4","1.0000"
"same day","team golf san francisco giants putter grip",24.99,"8","1.0000"
"same day","under armour women's ignite slide",31.99,"11","1.0000"
"same day","nike men's deutschland weltmeister winners bl",30,"9","1.0000"
"same day","team golf texas longhorns putter grip",24.99,"11","1.0000"
"same day","brooks women's ghost 6 running shoe",89.99,"3","1.0000"
"same day","web camera",452.04,"8","1.0000"
"same day","baby sweater",59.08,"15","1.0000"
"same day","insta-bed neverflat air mattress",149.99,"4","1.0000"
"same day","men's gala suit",210.85,"5","1.0000"
"same day","cds of rock",11.29,"8","1.0000"
"same day","under armour women's ignite pip vi slide",31.99,"10","1.0000"
"same day","eno atlas hammock straps",29.99,"15","1.0000"
"same day","glove it imperial golf towel",15.99,"6","1.0000"
"same day","titleist pro v1x high numbers golf balls",47.99,"7","1.0000"
"same day","polar ft4 heart rate monitor",89.99,"3","1.0000"
"same day","under armour men's compression ev sl slide",44.99,"10","1.0000"
"same day","nike men's comfort 2 slide",44.99,"4","1.0000"
"same day","under armour hustle storm medium duffle bag",34.99,"8","1.0000"
"same day","glove it women's mod oval golf glove",19.99,"11","1.0000"
"same day","adidas men's germany black crest away tee",25,"9","1.0000"
"same day","the north face women's recon backpack",99,"4","1.0000"
"same day","hirzl women's soffft flex golf glove",17.99,"7","1.0000"
"same day","bridgestone e6 straight distance nfl tennesse",31.99,"6","1.0000"
"same day","titleist pro v1 high numbers personalized gol",51.99,"9","1.0000"
"same day","tyr boys' team digi jammer",39.99,"8","1.0000"
"same day","bridgestone e6 straight distance nfl san dieg",31.99,"12","1.0000"
"same day","porcelain crafts",461.48,"5","1.0000"
"same day","nike men's fingertrap max training shoe",124.99,"1","1.0000"
"same day","dvds",164.38,"11","1.0000"
"same day","nike women's free 5.0 tr fit prt 4 training s",94.99,"3","1.0000"
"same day","hirzl women's hybrid golf glove",14.99,"6","1.0000"
"same day","hirzl men's hybrid golf glove",14.99,"9","1.0000"
"same day","taylormade 2014 purelite stand bag",179.99,"2","1.0000"
"same day","bag boy beverage holder",24.99,"7","1.0000"
"same day","bag boy m330 push cart",79.99,"1","1.0000"
"same day","clicgear 8.0 shoe brush",9.99,"6","1.0000"
"same day","titleist small wheeled travel cover",249.99,"2","1.0000"
"same day","clicgear rovic cooler bag",39.99,"6","1.0000"
"same day","nike women's tempo shorts",30,"7","1.0000"
"same day","adidas men's f10 messi trx fg soccer cleat",59.99,"7","1.0000"
"same day","glove it urban brick golf towel",15.99,"3","1.0000"
"same day","titleist pro v1x high numbers personalized go",51.99,"7","1.0000"
"same day","under armour men's tech ii t-shirt",24.99,"9","1.0000"
"same day","children's heaters",357.1,"10","1.0000"
"same day","dell laptop",1500,"3","1.0000"
"same day","team golf new england patriots putter grip",24.99,"5","1.0000"
"same day","mio alpha heart rate monitor/sport watch",199,"2","1.0000"
"same day","garmin approach s3 golf gps watch",249.99,"1","1.0000"
"same day","nike men's kobe ix elite low basketball shoe",199.99,"1","1.0000"
"same day","under armour kids' mercenary slide",27.99,"8","1.0000"
"same day","bridgestone e6 straight distance nfl carolina",31.99,"1","1.0000"
"same day","glove it women's mod oval 3-zip carry all gol",21.99,"8","1.0000"
"same day","adidas kids' f5 messi fg soccer cleat",34.99,"8","1.0000"
"same day","first aid kit",293.04,"5","1.0000"
"same day","titleist club glove travel cover",299.99,"1","1.0000"
"same day","ogio race golf shoes",169.99,"1","1.0000"
"same day","lija women's argyle golf polo",80,"1","1.0000"
"same day","lija women's eyelet sleeveless golf polo",65,"9","1.0000"
"same day","lija women's button golf dress",108,"5","1.0000"
"same day","lija women's mid-length panel golf shorts",100,"1","1.0000"
